ResourceGroup,Priority,SourcePortRanges,SourceAddressPrefixes,SourceASG,Access,Protocol,Direction,DestinationPortRanges,DestinationAddressPrefixes,DestinationASG
---------------,----------,------------------,-----------------------,-----------,--------,----------,-----------,-----------------------,----------------------------,----------------
ExpressRG,300,*,*,None,Allow,TCP,Inbound,22,*,None
ExpressRG,320,*,*,None,Allow,TCP,Inbound,443,*,None
ExpressRG,1000,*,*,None,Allow,*,Outbound,*,10.0.0.0/8,None
